id	Kode Proses	Finish	Part Name	Part Number	Process Name	Process Description	Cust. Name	Line	CT/PCS	Pcs/Jam	Cavity	
	7061	0	HOLDER BRAKE HOSE 1	2SX-F5875-00-00-80	Final Check	Buka Plastik + Check Visual + Marking + Packing (EXPORT)	YIMM	CHECK FINISH EXP	8	450	1	
	7062	FG-YMI-0381	HOLDER BRAKE HOSE 2	2SX-F5876-00	Assy	Assy 1 ~ 4	YIMM	WELDING ROBOT	14.16666667	254.1176471	1	
	7063	FG-YMI-0381	"HOLDER, BRAKE HOSE 2"	2SX-F5876-00-00-80	Final Check	Check Visual + Marking + Packing	YIMM	CHECK FINISH	16.5	218.1818182	1	
	7064	FG-YMI-0381	"HOLDER, BRAKE HOSE 2"	2SX-F5876-00-00-80	Final Check	Check Visual + Marking + Packing (Export)	YIMM	CHECK FINISH EXP	11	327.2727273	1	
	7065	FG-YMI-0642	HANDLE COMP	2SX-F6110-00	Final Check	Balancing + Insp. Jig	YIMM	HANDLE COMP CHECK	107	33.64485981	1	
	7066	FG-YMI-0642	HANDLE COMP 2SX	2SX-F6110-00	Assy	Proses Sub Assy + Assy 1 + Assy 2	YIMM	HANDLE COMP ASSY	93	38.70967742	1	
	7067	FG-YMI-0642	HANDLE COMP 2SX	2SX-F6110-00	Assy	Proses Assy 3 + Assy 4	YIMM	HANDLE COMP ASSY	60	60	1	
	7068	FG-YMI-0642	HANDLE COMP	2SX-F6110-00	Assy	Assy 1 -3	YIMM	HANDLE COMP ASSY	116.1290323	31	1	
	7069	FG-YMI-0642	HANDLE COMP	2SX-F6110-00	Check After Assy	Cek After Assy + 	YIMM	HANDLE COMP ASSY	90	40	1	
	7070	FG-YMI-0642	HANDLE COMP	2SX-F6110-00	Assy	Assy 4-5	YIMM	HANDLE COMP ASSY	72	50	1	
	7071	FG-YMI-0385	BRKT. 1 2WD	2WD-F175T--00	Assy	Assy 1 -2	YIMM	WELDING ROBOT	51	70.58823529	1	
	7072	FG-YMI-0385	Bracket 1	2WD-F175T-00-00-80	Check After Assy	Buang Spatter Area Hook + Check Insp Jig + Buang Spatter Area A + Gosok Aburayake + Check Visual Welding + Packing	YIMM	WELDING ROBOT	41.52	86.70520231	1	
	7073	0	Pipe Frame Head	31010-0106 B	Expand	"Expanding 1, 2"	KMI	WELDING UMUM	37.5	96	1	
	7074	0	Pipe Frame Head	31010-0106 B	Machining	Machining	KMI	WELDING UMUM	64.28571429	56	1	
	7075	0	Pipe (Pipe Frame Head)	31010-0108A	Expand	"Expanding 1, 2"	KMI	WELDING UMUM	25.71428571	140	1	
	7076	0	Pipe (Pipe Frame Head)	31010-0108A	Machining	Machining	KMI	WELDING UMUM	72	50	1	
	7077	FG-KMI-0189	PIPE FRAME HEAD	31010-0110	Machining	Machining 1 Spindle_(LX150 1 Spindle + K59 2 Spindle)_2:1	KMI	WELDING UMUM	86	41.86046512	1	OK
	7078	FG-KMI-0189	PIPE FRAME HEAD ASSY	31010-0110	Machining	MACHINING LX 1 SPINDLE  & MACHINING BEJ 1 SPINDLE	KMI	WELDING UMUM	76	47.36842105	1	
	7079	FG-KMI-0189	PIPE FRAME HEAD ASSY	31010-0110	Expand	Expanding	KMI	WELDING UMUM	24	150	1	OK
	7080	FG-KMI-0189	PIPE FRAME HEAD ASSY	31010-0110	Machining	Machining	KMI	WELDING UMUM	75	48	1	
	7081	FG-KMI-0189	Pipe Frame Head	31010-0110A	Assy	Assy Weld 1 + Assy Weld 2	KMI	WELDING UMUM	62.6857	57.42936587	1	OK
	7082	FG-KMI-0189	Pipe Frame Head	31010-0110A	Check After Assy	Check Insp. Jig + Buang Spatter + Check Visual + Sanding + Gosok + Marking	KMI	WELDING UMUM	103.29	34.85332559	1	
	7083	FG-KMI-0202	PIPE FRAME HEAD	31010-0116 A	Assy	Assy Welding 1 + Assy Welding 2	KMI	WELDING UMUM	80	45	1	
	7084	FG-KMI-0202	PIPE FRAME HEAD	31010-0116 A	Check After Assy	Check Visual + Buang Sparter + Insp. Jig + Sendering	KMI	WELDING UMUM	80	45	1	
	7085	FG-KMI-0219	Pipe Frame Head	31010-0119 A	Assy	Assy 1+2+3	KMI	WELDING UMUM	80	45	1	
	7086	FG-KMI-0219	Pipe Frame Head	31010-0119 A	Check After Assy	Check + Packing	KMI	WELDING UMUM	80	45	1	
	7087	0	Pipe Frame Head	31010-0122	Check After Assy	Check Insp Jig + buang sparter + Sendring + Packing	KMI	WELDING UMUM	119.675	30.08147065	1	
	7088	FG-KMI-0231	PIPE FRAME HEAD	31010-0122	Assy	Assy weld	KMI	WELDING UMUM	120	30	1	
	7089	FG-KMI-0231	PIPE FRAME HEAD	31010-0122	Check After Assy	Check After Assy	KMI	WELDING UMUM			1	
	7090	FG-KMI-0231	PIPE FRAME HEAD	31010-0122	Expand	Expanding	KMI	WELDING UMUM	66.04	54.51241672	1	
	7091	FG-KMI-0231	PIPE FRAME HEAD	31010-0122	Machining	Machining	KMI	WELDING UMUM	66.04	54.51241672	1	
	7092	0	HEAD PIPE ASSY	31064-5016	Machining	Machining 1 Spindle_(5016 1 Spindle + K59 2 Spindle)_2-1	KMI	WELDING UMUM	86	41.86046512	1	
	7093	FG-KMI-0241	ADJUSTER CHAIN ( LH )	33040-0094	Assy	ASSY	KMI	WELDING UMUM	101	35.64356436	1	
	7094	FG-KMI-0241	ADJUSTER CHAIN ( LH )	33040-0094	Check After Assy	Check & buang sparter	KMI	WELDING UMUM	15	240	1	
	7095	FG-KMI-0241	ADJUSTER CHAIN ( LH )	33040-0094	Final Check	Check After Plating	KMI	WELDING UMUM	80	45	1	
	7096	FG-KMI-0242	ADJUSTER CHAIN ( RH )	33040-0095	Assy	ASSY	KMI	WELDING UMUM	101	35.64356436	1	
	7097	FG-KMI-0242	ADJUSTER CHAIN ( RH )	33040-0095	Check After Assy	Check & buang sparter	KMI	WELDING UMUM	15	240	1	
	7098	FG-KMI-0242	ADJUSTER CHAIN ( RH )	33040-0095	Final Check	Check After Plating	KMI	WELDING UMUM	80	45	1	
	7099	FG-KMI-0169	STAND SIDE	34024-0138A	Assy	Assy 1-4	KMI	WELDING UMUM	40.90909091	88	1	
	7100	FG-KMI-0169	STAND SIDE	34024-0138A	Check After Assy	Gerinda	KMI	WELDING UMUM	225	16	1	
	7101	FG-KMI-0169	STAND SIDE	34024-0138A	Check After Assy	Cek By Insp Jig	KMI	WELDING UMUM	225	16	1	
	7102	FG-KMI-0169	STAND SIDE	34024-0138A	Check After Assy	Wire Brush + Buffing	KMI	WELDING UMUM	200	18	1	
	7103	FG-KMI-0169	STAND SIDE	34024-0138A	Check After Assy	Cek Visual + Sendring	KMI	WELDING UMUM	600	6	1	
	7104	FG-KMI-0378	ARM SUSP 0571	39007-05711K	Check After Assy	CHECK FINISH WELDING	KMI	WELDING UMUM	115.05	31.29074316	1	
	7105	FG-KMI-0378	ARM SUSP 0571	39007-05711K	Assy	Assy (Assy 1 - Set 2)	KMI	WELDING UMUM	28	128.5714286	1	
	7106	FG-KMI-0379	ARM SUSP 0572	39007-05721K	Check After Assy	CHECK FINISH WELDING	KMI	WELDING UMUM	121.05	29.73977695	1	1
	7107	FG-KMI-0379	ARM SUSP 0572	39007-05721K	Assy	Assy (Assy 1 - Set 2)	KMI	WELDING UMUM	44	81.81818182	1	1
	7108	FG-KMI-0380	ARM SUSP 0589	39007-05891K	Assy	ASSY (SUB ASSY 1 - SET 4)	KMI	WELDING UMUM	354	10.16949153	1	
	7109	FG-KMI-0380	ARM SUSP 0589	39007-05891K	Check After Assy	Check Insp Jig + Balancing	KMI	WELDING UMUM	252	14.28571429	1	
	7110	FG-KMI-0381	ARM SUSP 0590	39007-05901K	Assy	ASSY (SUB ASSY 1 - ASSY 4)	KMI	WELDING UMUM	350	10.28571429	1	
	7111	FG-KMI-0381	ARM SUSP 0590	39007-05901K	Check After Assy	Check Insp Jig + Balancing	KMI	WELDING UMUM	252	14.28571429	1	
	7112	FG-KMI-0382	ARM-SUSP	39007-05971K	Assy	ASSY (SUB ASSY 1 - ASSY 3)	KMI	WELDING UMUM	397	9.068010076	1	
	7113	FG-KMI-0382	ARM-SUSP	39007-05971K	Check After Assy	Check Insp Jig + Balancing	KMI	WELDING UMUM	240	15	1	
	7114	FG-KMI-0383	ARM SUSP 0598	39007-05981K	Assy	ASSY (SUB ASSY 1 - ASSY 3)	KMI	WELDING UMUM	372	9.677419355	1	
	7115	FG-KMI-0383	ARM SUSP 0598	39007-05981K	Check After Assy	Check Insp Jig + Balancing	KMI	WELDING UMUM	240	15	1	
	7116	FG-KMI-0104	ROD-TIE	39111-0067A	Assy	Assy	KMI	WELDING UMUM	72	50	1	
	7117	FG-KMI-0104	ROD-TIE	39111-0067A	Check After Assy	Check Insp+Visual+Pack	KMI	WELDING UMUM	180	20	1	
	7118	0	Rod - Tie	39111-0323A	Assy	Assy	KMI	WELDING UMUM	60.37041111	59.6318616	1	
	7119	0	Rod - Tie	39111-0323A	Check After Assy	Pembersihan Spatter + Check Insp Jig + Packing	KMI	WELDING UMUM	46	78.26086957	1	
	7120	FG-KMI-0274	ROD-TIE	39111-03731k	Assy	Assy	KMI	WELDING UMUM	128.5714286	28	1	
	7121	FG-KMI-0274	ROD-TIE	39111-03731k	Check After Assy	Check After Assy	KMI	WELDING UMUM			1	
	7122	FG-KMI-0274	ROD-TIE	39111-03731k	Final Check	Final Check	KMI	WELDING UMUM			1	
	7123	FG-KMI-0271	ROD-TIE	39111-0385	Assy	Assy 1 +2 +3	KMI	WELDING UMUM	50	72	1	
	7124	FG-KMI-0271	ROD-TIE	39111-0385	Final Check	Check + Packing	KMI	WELDING UMUM	180	20	1	
	7125	FG-KMI-0271	ROD-TIE	39111-0385	Check After Assy	Check Visual + Insp. Jig + Sendring + Buang Spatter + Packing	KMI	WELDING UMUM	62.3	57.78491172	1	
	7126	FG-KMI-0271	ROD-TIE	39111-0385	Machining	Machining 1 + 2	KMI	WELDING UMUM	143.22	25.13615417	1	
	7127	FG-KMI-0253	STAY-COMP PHANTOM SILVER	39137-0706 458	Assy	Assy 1+2+3	KMI	WELDING UMUM	48	75	1	
	7128	FG-KMI-0253	STAY-COMP PHANTOM SILVER	39137-0706 458	Check After Assy	Check I/J Appearance	KMI	WELDING UMUM	60	60	1	
	7129	FG-KMI-0253	STAY-COMP PHANTOM SILVER	39137-0706 458	Final Check	Check Visual + Packing	KMI	WELDING UMUM	60	60	1	
	7130	0	Pipe Comp Frame Head	41110-12K00	Cuci	Pembersihan Karat + Cuci Anti Rust	SIM	WELDING UMUM	79.2	45.45454545	1	
	7131	0	Pipe Comp Frame Head	41110-12K00	Check Finish	Cuci + Visual + Marking + Packing	SIM	WELDING UMUM	207	17.39130435	1	
	7132	FG-ISI-0121	PIPE COMP FRAME HEAD 	41110-12K00	Expand	Expanding	SIM	WELDING UMUM	22.92993631	157	1	
	7133	FG-ISI-0121	PIPE COMP FRAME HEAD 	41110-12K00	Machining	Machining	SIM	WELDING UMUM	39.13043478	92	1	
	7134	FG-ISI-0121	PIPE COMP FRAME HEAD 	41110-12K00	Assy	Assy 	SIM	WELDING UMUM	36	100	1	
	7135	FG-ISI-0121	Pipe Comp Frame Head	41110-12K00	Check After Assy	Check Visual + Kikir + Check Insp. Jig + Marking + Sanding + Gosok + Packing	SIM	WELDING UMUM	108.22	33.26557013	1	
	7136	0	Pipe Comp Frame Head	41110-23KC0	Assy	Assy Pipe 23KC0 + Bracket Hanger SLJ111	SIM	WELDING UMUM	88	40.90909091	1	
	7137	FG-ISI-0197	PIPE FRAME HEAD	41110-23KC0	Assy	Assy Welding 	SIM	WELDING UMUM	128.5714286	28	1	
	7138	FG-ISI-0197	PIPE FRAME HEAD	41110-23KC0	Check After Assy	Cek Total 	SIM	WELDING UMUM	116.1290323	31	1	
	7139	0	Pipe Comp Frame Head	41110-23KE0	Assy	Assy Pipe 23KE0 + Assy Reinf G20	SIM	WELDING UMUM	114	31.57894737	1	
	7140	FG-ISI-0195	PIPE FRAME HEAD	41110-23KE0	Assy	Assy Weld 1 - 5 	SIM	WELDING UMUM	37.89473684	95	1	
	7141	FG-ISI-0195	PIPE FRAME HEAD	41110-23KE0	Check After Assy	Cek Total	SIM	WELDING UMUM	225	16	1	
	7142	FG-ISI-0079	PIPE COMP FRAME HEAD 	41110B25G00	Assy	Las Stopper /Pl.Str.Lock	SIM	WELDING UMUM	43.37349398	83	1	
	7143	FG-ISI-0079	PIPE COMP FRAME HEAD 	41110B25G00	Check After Assy	Cek 	SIM	WELDING UMUM	43.37349398	83	1	
	7144	FG-ISI-0079	PIPE COMP FRAME HEAD 	41110B25G00N	Expand	Expanding	SIM	WELDING UMUM	25.71428571	140	1	
	7145	FG-ISI-0079	PIPE COMP FRAME HEAD 	41110B25G00N	Machining	Machining	SIM	WELDING UMUM	50	72	1	
	7146	0	PIPE FRAME HEAD	41141-45F60	Machining	Machining FU-OLD 1 Spindle + Machining AG01 2 Spindle	SIM	WELDING UMUM	60	60	1	
	7147	0	Tube Comp Brige Lower	41770-23K10	Check After Assy	PEMBERSIHAN SPATTER + CHECK INSP JIG + CHECK GAP + GERINDA + CHECK GO NO GO	SIM	WELDING UMUM	303	11.88118812	1	
	7148	FG-ISI-0142	"TUBE COMP, FRAME BRIDGE LOWER"	41770-23K10	Assy	Assy 1-5	SIM	WELDING UMUM	60	60	1	
	7149	FG-ISI-0142	"TUBE COMP, FRAME BRIDGE LOWER"	41770-23K10	Assy	Assy 6-9	SIM	WELDING UMUM	116.1290323	31	1	
	7150	FG-ISI-0142	"TUBE COMP, FRAME BRIDGE LOWER"	41770-23K10	Check After Assy	Check	SIM	WELDING UMUM	138.4615385	26	1	
	7151	FG-ISI-0101	STAND COMP PROP	42310-40J10	Assy	Assy 	SIM	WELDING UMUM	40.90909091	88	1	
	7152	FG-ISI-0101	STAND COMP PROP	42310-40J10	Check After Assy	Check After Assy	SIM	WELDING UMUM	37.5	96	1	
	7153	FG-ISI-0101	STAND COMP PROP	42310-40J10	Final Check	Check After Plating	SIM	WELDING UMUM	120	30	1	
	7154	FG-ISI-0164	Cap Comp Fuel Tank Filler	44210-09J00	Cek Visual after Bd. finish	Cek Visual after Bd. finish	SIM	SPOT WELDING	5	720	1	
	7155	FG-KMI-0226	Handle	46003-0723	Sanding	Sanding + Buang Spatter + Visual	KMI	HANDLE COMP ASSY	314.2	11.45767027	1	
	7156	FG-KMI-0226	Handle	46003-0723F (1K)	Assy	Assy 1 + Assy 2	KMI	HANDLE COMP ASSY	67	53.73134328	1	
	7157	FG-KMI-0284	HANDLE	46003-08121K	Assy	Assy 1-3	KMI	HANDLE COMP ASSY	70.58823529	51	1	
	7158	FG-KMI-0284	HANDLE	46003-08121K	Sanding	Sanding	KMI	HANDLE COMP ASSY	240	15	1	
	7159	FG-KMI-0325	Handle 	46003-08431K	Assy	Assy Welding	KMI	HANDLE COMP ASSY	74.59	48.26384234	1	
	7160	FG-KMI-0325	Handle 	46003-08431K	Check After Assy	Check Visual + check finish	KMI	HANDLE COMP ASSY	29.22	123.2032854	1	
	7161	0	Brace Comp Leg Shield	48150-49K00	Assy	Assy Leg Shield 49K00 + Bracket Tank 5003	SIM	WELDING UMUM	86	41.86046512	1	
	7162	FG-ISI-0165	"BRACE COMP, LEG SHIELD"	48150-49K00	Assy	Assy 	SIM	WELDING UMUM	83.72093023	43	1	
	7163	FG-ISI-0165	"BRACE COMP, LEG SHIELD"	48150-49K00	Check After Assy	Cek  After Assy - Visual ( Proses Tambahan )	SIM	WELDING UMUM	30	120	1	
	7164	FG-ISI-0165	"BRACE COMP, LEG SHIELD"	48150-49K00	Final Check	Cek  After Plating + By Ins Jig+Visual Plating ( Proses Tambahan )	SIM	WELDING UMUM	240	15	1	
	7165	FG-YMI-0646	CAP ASSY.	4YY-F4610-00	Final Check	Cek Visual after Bd. finish	YIMM	SPOT WELDING	6	600	1	
	7166	FG-YMI-0646	CAP ASSY.	4YY-F4610-00-00-J0	Assy	"Full Assy, 9 proses, 5 MP, Sesuai Standar Pembagian Waktu Kerja"	YIMM	SPOT WELDING	8	450	1	
	7167	FG-YMI-0646	CAP ASSY.	4YY-F4610-00-00-J0	Assy	Bd. Rivet + Bd. Finish	YIMM	SPOT WELDING	10.74626866	335	1	
	7168	0	Cap Outer	4YY-F4611-00	Pierce Blank Progressive	Pierce Blank Progressive	YIMM	PRESSING 2	1.174242424	3065.806452	1	
	7169	FG-YMI-0646	CAP OUTER	4YY-F4611-00	Progressive	Knurling + Embose	YIMM	PRESSING 2	2.71	1324	1	
	7170	0	CAP Inner	4YY-F4644-00	Pierce Blank Progressive	Pierce Blank Progressive	YIMM	PRESSING 2	1.416666667	2541.176471	1	
	7171	FG-YMI-0646	CAP INNER CA 4YY	4YY-F4644-00	Progressive	Bending + Pierce OTO	YIMM	PRESSING 2	5.263	684	1	
	7172	FG-YMI-0230	"BRKT.,FUEL PUMP"	54P-F4491-00	Trimming	Pierce + Triming	YIMM	PRESSING 1	4	900	1	
	7173	FG-YMI-0230	"BRKT.,FUEL PUMP"	54P-F4491-00	Trimming	Trimming	YIMM	PRESSING 1	4	900	1	
	7174	FG-YMI-0230	"BRKT.,FUEL PUMP"	54P-F4491-00	Progressive	Blank	YIMM	PRESSING 2	1.85	1946	1	
	7175	0	Handle Bar	56110-23K20	Final Check	Cek Total	SIM	HANDLE COMP CHECK	60	60	1	
	7176	FG-ISI-0187	Rod Seat Rear Cushion	62064-23K20	Assy	Assy Spacer + Bearing	SIM	PRESSING 2	26	138.4615385	1	
	7177	FG-ISI-0187	ROD COMP RR CUSHION	62640-23K00	Assy	Assy 1 ~ 2	SIM	WELDING UMUM	35	102.8571429	1	
	7178	FG-ISI-0187	ROD COMP RR CUSHION	62640-23K00	Check After Assy	Check Visual + Insp. Jig	SIM	WELDING UMUM	16	225	1	
	7179	0	"BRACKET COMP, CONSOLE BOX FR"	75880-73R00	Spot	Assy Spot Plate	ISI	PRESSING 2	21.433	167.9652872	1	
	7180	0	Brkt. Floor Console Box CTR	75882-72R00-000	Bending	"Bending 3, 4"	SIM	PRESSING 2	14.7	244.8979592	1	
	7181	FG-YMI-0728	WASHER PLAIN	902010682800M3	Final Check	Check Visual + Packing	YIMM	CHECK FINISH	5	720	1	
	7182	FG-YMI-0728	WASHER PLAIN	902010682800M3	Final Check	Check Visual + Packing (EXPORT)	YIMM	CHECK FINISH EXP	5	720	1	
	7183	FG-YMI-0400	Handle	B04-F6111-00	Sanding	Check Insp. Jig + Sanding	YIMM	HANDLE COMP ASSY	142.6	25.2454418	1	
	7184	FG-YMI-0400	Handle Comp	B04-F6111-00	Assy	Assy	YIMM	HANDLE COMP ASSY	41.16666667	87.44939271	1	
	7185	FG-YMI-0724	"BRKT.,1"	B1XF175T000080	Check After Assy	Check Total By Insp.	YIMM	WELDING ROBOT	75	48	1	
	7186	FG-YMI-0724	"BRKT.,1"	B1XF175T000080	Assy	Assy 1 ~ 3	YIMM	WELDING ROBOT	54	66.66666667	1	
	7187	FG-YMI-0517	Handle Comp	B3B-F6110-00	Assy	Assy 1 ~ 6	YIMM	HANDLE COMP ASSY	122.275	29.44183194	1	
	7188	FG-YMI-0517	Handle Comp	B3B-F6110-00	Check After Assy	Check Visual + Buang Spatter + Marker + Packing	YIMM	HANDLE COMP ASSY	13.4	268.6567164	1	
	7189	0	Handle Comp	B3B-F6110-00	Final Check	Balancing + Insp. Jig + Visual + Packing + Marking	YIMM	HANDLE COMP CHECK	85.9	41.90919674	1	
	7190	FG-YMI-0551	HANDLE COMP	B3F-F6110-00	Assy	ASSY 1 & 2	YIMM	HANDLE COMP ASSY	78.23	46.0181516	1	
	7191	FG-YMI-0551	HANDLE COMP	B3F-F6110-00	Assy	ASSY 3 & 4	YIMM	HANDLE COMP ASSY	67.23	53.54752343	1	
	7192	FG-YMI-0551	HANDLE COMP	B3F-F6110-00	Assy	Assy 1-5	YIMM	HANDLE COMP ASSY	144	25	1	
	7193	FG-YMI-0551	HANDLE COMP	B3F-F6110-00	Check After Assy	Balancing	YIMM	HANDLE COMP ASSY	80	45	1	
	7194	FG-YMI-0551	HANDLE COMP	B3F-F6110-00	Final Check	Check Ins.Jig	YIMM	HANDLE COMP CHECK	106	33.96226415	1	
	7195	FG-YMI-0692	HANDLE BAR	B3M-F6111-00	Bender	Bending Roll + Pierce 1 & 2	YIMM	HANDLE COMP ASSY	22	163.6363636	1	
	7196	FG-YMI-0692	HANDLE BAR	B3M-F6111-00	Knurling	Knurling + Check Visual + Marking	YIMM	HANDLE COMP ASSY	18	200	1	
	7197	0	"BRKT., FOOTREST"	B3W-F214K-00-00-80	Final Check	Check Insp. Jig + Wire + Check Visual + Marking + Packing	YIMM	SPOT WELDING	11	327.2727273	1	
	7198	0	"BRKT., FOOTREST"	B3W-F214K-00-00-R0	Final Check	Check Insp. Jig + Wire + Check Visual + Marking + Packing (EXPORT)	YIMM	CHECK FINISH EXP	11	327.2727273	1	
	7199	FG-YMI-0711	HANDLE COMP	B3W-F6110-00	Assy	Welding Robot	YIMM	HANDLE COMP ASSY	128.5714286	28	1	
	7200	FG-YMI-0711	HANDLE COMP	B3W-F6110-00	Final Check	Check + Balancing	YIMM	HANDLE COMP CHECK	102.8571429	35	1	
	7201	0	"BRKT., 10 (Stay 3)"	B3W-F833G-00	Bending	Bending 1 + 2	YIMM	PRESSING 1	10	360	1	
	7202	FG-YMI-0712	"STAY,3"	B3WF8358000080	Final Check	CHEK VISUAL + TAP ULIR + MARKING + PACKING (EXPORT)	YIMM	CHECK FINISH EXP	19	189.4736842	1	
	7203	FG-YMI-0712	"STAY,3"	B3W-F8358-00-00-80	Final Check	Roll Tap + Check Visual + Marking + Packing	YIMM	CHECK FINISH	10	360	1	
	7204	FG-YMI-0717	"BRKT.,SIDE STAND"	B5DF1458100080	Assy	Assy 	YIMM	WELDING UMUM	72	50	1	
	7205	FG-YMI-0717	"BRKT.,SIDE STAND"	B5DF1458100080	Check After Assy	Check	YIMM	WELDING UMUM	72	50	1	
	7206	0	Handle Comp	B5D-F6110-00	Final Check	Balancing + Check Insp. Jig + Gerinda + Visual + Touch Up + Marking	YIMM	HANDLE COMP CHECK	134	26.86567164	1	
	7207	FG-YMI-0713	HANDLE COMP NEW	B5D-F6110-10	Check After Assy	Marking + insp Jig	YIMM	HANDLE COMP ASSY	46.02	78.22685789	1	
	7208	FG-YMI-0713	HANDLE COMP	B5D-F6110-10	Assy	Assy 1 - 5	YIMM	HANDLE COMP ASSY	112.5	32	1	
	7209	FG-YMI-0713	HANDLE COMP	B5D-F6110-10	Final Check	FINAL CHECK	YIMM	HANDLE COMP CHECK	105.8823529	34	1	
	7210	0	Gusset 1	B65-F113G-00	Check + Packing	Check Pokayoke + Marking + Packing	YIMM	SPOT WELDING	8.45	426.035503	1	
	7211	FG-YMI-0435	"GUSSET., 1"	B65F113G000080	Final Check	Final Check (EXPORT)	YIMM	CHECK FINISH EXP	5.6	642.8571429	1	
	7212	0	"GUSSET,1"	B65F113G0000X0	Final Check	Check Visual + NOX RUST307 + Packing	YIMM	CHECK FINISH EXP	6.958	517.3900546	1	
	7213	FG-YMI-0786	"GUSSET,1"	B65F113G0000X0	Final Check	Final Check (EXPORT)	YIMM	CHECK FINISH EXP	17.6	204.5454545	1	
	7214	0	Gusset 2	B65-F113H-00	Check + Packing	Check Pokayoke + Marking + Packing	YIMM	SPOT WELDING	8.45	426.035503	1	
	7215	0	"GUSSET,2"	B65F113H0000X0	Final Check	Check Visual + NOX RUST307 + Packing	YIMM	CHECK FINISH EXP	8.458	425.6325372	1	
	7216	FG-YMI-0868	"GUSSET., 2"	B65F113H010080	Final Check	Final Check (EXPORT)	YIMM	CHECK FINISH EXP	9.5	378.9473684	1	
	7217	FG-YMI-0870	"GUSSET,2"	B65F113H0100X0	Final Check	Final Check (EXPORT)	YIMM	CHECK FINISH EXP	9.498680739	379	1	
	7218	FG-YMI-0870	"GUSSET,2"	B65F113H0100X0	Final Check	Final Check (EXPORT)	YIMM	CHECK FINISH EXP	17.6	204.5454545	1	
	7219	0	Bracket Egine 1	B65-F1411-00	Check After Assy	Sendring + Insp + Visual Sparter	YIMM	WELDING ROBOT	60	60	1	
	7220	0	"BRKT., ENG. 1"	B65-F1411-00	Assy 	Sub Assy 1 + 2 + 3	YIMM	WELDING ROBOT	18.9	190.4761905	1	
	7221	0	"BRKT., ENG. 1"	B65-F1411-00	Assy 	Assy 4 ~ 5	YIMM	WELDING ROBOT	31.5167	114.2251568	1	
	7222	0	"BRKT., ENG. 1"	B65-F1411-00	Assy 	Assy 1 + 2 + 3 + 4 + 5	YIMM	WELDING ROBOT	55	65.45454545	1	
	7223	FG-YMI-0458	"HINGE, SEAT"	B65-F4726-00-00-80	Final Check	Check Visual + Marking + Packing	YIMM	CHECK FINISH	9.6875	371.6129032	1	
	7224	FG-YMI-0458	"HINGE, SEAT"	B65-F4726-00-00-80	Final Check	Check Visual + Marking + Packing (Export)	YIMM	CHECK FINISH EXP	9	400	1	
	7225	FG-YMI-0626	"BRKT.,RR. FOOTREST"	B6H-F1153-00-00-80	Spot	Assy Spot	YIMM	SPOT WELDING	4.77	754.7169811	1	
	7226	FG-YMI-0634	"BRKT.,2"	B6H-F172L-00-00-80	Final Check	Check Insp. Jig + Check Visual + Packing	YIMM	SPOT WELDING	13	276.9230769	1	
	7227	FG-YMI-0635	"BRKT.,3"	B6H-F172M-00-00-80	Final Check	Check Insp. Jig + Check Visual + Packing	YIMM	SPOT WELDING	13	276.9230769	1	
	7228	FG-YMI-0635	"BRKT.,3"	B6H-F172M-00-00-80	Final Check	Check Insp. Jig + Check Visual + Packing	YIMM	SPOT WELDING	13	276.9230769	1	
	7229	0	"BRKT.,2"	B6H-F175U-00	Blank	Pierce Blank	YIMM	PRESSING 1	3.702666667	972.2722362	1	
	7230	0	"BRKT.,2"	B6H-F175U-00	Bending	Bending	YIMM	PRESSING 1	9.656	372.8251864	1	
	7231	FG-YMI-0634	"BRKT.,2"	B6H-F175U-00	Progressive	Pierce Blank Prog + Bending	YIMM	PRESSING 2	1.8	2000	1	
	7232	0	"BRKT.,3"	B6H-F175V-00	Blank	Pierce Blank	YIMM	PRESSING 1	3.702666667	972.2722362	1	
	7233	0	"BRKT.,3"	B6H-F175V-00	Bending	Bending	YIMM	PRESSING 1	26.235	137.2212693	1	
	7234	FG-YMI-0635	"BRKT.,3"	B6H-F175V-00	Progressive	Pierce Blank + Bending Progressive	YIMM	PRESSING 2	1.37	2627.737226	1	
	7235	FG-YMI-0635	"BRKT.,3"	B6H-F175V-00	Progressive	Pierce Blank Prog + Bending	YIMM	PRESSING 2	1.8	2000	1	
	7236	FG-YMI-0638	HOLDER	B6H-F419A-00	Bending	"Bending 1,2"	YIMM	PRESSING 1	8	450	1	
	7237	FG-YMI-0638	HOLDER	B6H-F419A-00	Bending	Bending 3	YIMM	PRESSING 1	4	900	1	
	7238	FG-YMI-0638	HOLDER	B6H-F419A-00-00-80	Final Check	Check Visual + Marking + Packing (Export)	YIMM	CHECK FINISH EXP	7.003891051	514	1	
	7239	FG-YMI-0767	HOLDER	B6H-F419A-10-00-80	Final Check	Check Visual + Marking + Packing (EXPORT)	YIMM	CHECK FINISH EXP	8	450	1	
	7240	FG-YMI-0767	HOLDER	B6H-F419A-10-00-80	Final Check	Check Visual + Marking + Packing	YIMM	CHECK FINISH	7	514.2857143	1	
	7241	FG-YMI-0636	"BRKT.,FUEL PUMP"	B6H-F4491-00	Pierce	Pierce  + Trimming	YIMM	PRESSING 1	7.96460177	452	1	
	7242	FG-YMI-0636	"BRKT.,FUEL PUMP"	B6H-F4491-00	Pierce	Pierce  + Trimming	YIMM	PRESSING 1	5.2	692.3076923	1	
