id	Kode Proses	Finish	Part Name	Part Number	Process Name	Process Description	Cust. Name	Line	CT/PCS	Pcs/Jam	Cavity	
	7358	FG-YMI-0811	"BRKT.,5"	BKAF139G000080	Check After Assy	Cek visual + cek jig + tap m6 m8 packing	YIMM	WELDING ROBOT	42.85714286	84	1	
	7359	FG-YMI-0811	"BRKT.,5"	BKAF139G000080	Assy	Assy Spot M8	YIMM	SPOT WELDING	5.68	633.8028169	1	
	7360	FG-YMI-0812	"BRKT.,6"	BKAF139H000080	Assy	Assy Welding	YIMM	WELDING ROBOT	46.75324675	77	1	
	7361	FG-YMI-0812	"BRKT.,6"	BKAF139H000080	Check After Assy	Cek visual + cek jig	YIMM	WELDING ROBOT	42.85714286	84	1	
	7362	FG-YMI-0812	"BRKT.,6"	BKAF139H000080	Assy	Assy Spot M8	YIMM	SPOT WELDING	5.68	633.8028169	1	
	7363	FG-YMI-0831	HANDLE COMP	BKAF6110000080	Check After Assy	cek Visual +  Packing	YIMM	HANDLE COMP ASSY	56.25	64	1	
	7364	FG-YMI-0831	HANDLE COMP	BKAF6110000080	Final Check	Check jig  + Visual + Packing+marking packing	YIMM	HANDLE COMP CHECK	144	25	1	
	7365	FG-YMI-0831	HANDLE COMP	BKAF6110000080	Final Check	Cek Jig + Tap + Visual 	YIMM	HANDLE COMP CHECK	156.5217391	23	1	
	7366	FG-YMI-0831	HANDLE COMP	BKAF6110000080	Bender	"Bending Roll + Pierce 1,2"	YIMM	HANDLE COMP ASSY	21.95121951	164	1	
	7367	FG-YMI-0831	HANDLE COMP	BKAF6110000080	Assy	Assy 1 - 4	YIMM	HANDLE COMP ASSY	73.46938776	49	1	
	7368	FG-YMI-0848	"STAY,2"	BKAF8357000080	Assy	Assy Welding	YIMM	WELDING ROBOT	33.96226415	106	1	
	7369	FG-YMI-0848	"STAY,2"	BKAF8357000080	Check After Assy	Cek Total	YIMM	WELDING ROBOT	43.37349398	83	1	
	7370	FG-YMI-0848	"STAY,2"	BKAF8357000080	Final Check	Final Check	YIMM	CHECK FINISH	12	300	1	
	7371	FG-YMI-0848	"STAY,2"	BKAF8357000080	Final Check	Final Check (EXPORT)	YIMM	CHECK FINISH EXP	40.89	88.04108584	1	
	7372	FG-YMI-0848	"STAY,2"	BKAF8357000080	Final Check	Final Check	YIMM	CHECK FINISH	37.11340206	97	1	
